NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0045727 POSITIVE REGULATION OF TRANSLATION	GO:0045727 POSITIVE REGULATION OF TRANSLATION		19	-0.29415828	-0.92534983	0.58221024	0.83093816	1.0	568	tags=21%, list=11%, signal=24%	
GO:0050839 CELL ADHESION MOLECULE BINDING	GO:0050839 CELL ADHESION MOLECULE BINDING		23	-0.2753296	-0.9239697	0.55826557	0.82692206	1.0	1402	tags=43%, list=27%, signal=59%	
GO:0007029 ENDOPLASMIC RETICULUM ORGANIZATION	GO:0007029 ENDOPLASMIC RETICULUM ORGANIZATION		17	-0.30286455	-0.9223565	0.5501285	0.8236697	1.0	570	tags=24%, list=11%, signal=26%	
GO:0008258 HEAD INVOLUTION	GO:0008258 HEAD INVOLUTION		18	-0.29340738	-0.9173179	0.59424084	0.8293479	1.0	663	tags=22%, list=13%, signal=25%	
GO:0032509 ENDOSOME TRANSPORT VIA MULTIVESICULAR BODY SORTING PATHWAY	GO:0032509 ENDOSOME TRANSPORT VIA MULTIVESICULAR BODY SORTING PATHWAY		15	-0.309877	-0.91493607	0.5802469	0.8278844	1.0	1012	tags=33%, list=19%, signal=41%	
GO:0010883 REGULATION OF LIPID STORAGE	GO:0010883 REGULATION OF LIPID STORAGE		17	-0.29002357	-0.9095422	0.5861111	0.8347425	1.0	994	tags=35%, list=19%, signal=43%	
GO:0046716 MUSCLE CELL CELLULAR HOMEOSTASIS	GO:0046716 MUSCLE CELL CELLULAR HOMEOSTASIS		19	-0.28357786	-0.9086838	0.5798122	0.82950664	1.0	642	tags=21%, list=12%, signal=24%	
GO:0016021 INTEGRAL COMPONENT OF MEMBRANE	GO:0016021 INTEGRAL COMPONENT OF MEMBRANE		328	-0.16404393	-0.9019853	0.875	0.8391824	1.0	1115	tags=23%, list=21%, signal=27%	
GO:0030674 PROTEIN-MACROMOLECULE ADAPTOR ACTIVITY	GO:0030674 PROTEIN-MACROMOLECULE ADAPTOR ACTIVITY		20	-0.27072477	-0.88556784	0.6228288	0.872988	1.0	843	tags=30%, list=16%, signal=36%	
GO:0040018 POSITIVE REGULATION OF MULTICELLULAR ORGANISM GROWTH	GO:0040018 POSITIVE REGULATION OF MULTICELLULAR ORGANISM GROWTH		15	-0.29079884	-0.8854995	0.62857145	0.86571276	1.0	569	tags=20%, list=11%, signal=22%	
GO:0003730 MRNA 3'-UTR BINDING	GO:0003730 MRNA 3'-UTR BINDING		27	-0.24989785	-0.8790953	0.62903225	0.87394184	1.0	694	tags=22%, list=13%, signal=25%	
GO:0030307 POSITIVE REGULATION OF CELL GROWTH	GO:0030307 POSITIVE REGULATION OF CELL GROWTH		18	-0.28052422	-0.8777484	0.6469136	0.86999637	1.0	626	tags=22%, list=12%, signal=25%	
GO:0030718 GERM-LINE STEM CELL POPULATION MAINTENANCE	GO:0030718 GERM-LINE STEM CELL POPULATION MAINTENANCE		18	-0.276583	-0.87261647	0.65829146	0.87424594	1.0	608	tags=22%, list=12%, signal=25%	
GO:0005198 STRUCTURAL MOLECULE ACTIVITY	GO:0005198 STRUCTURAL MOLECULE ACTIVITY		23	-0.2541201	-0.86183256	0.6920981	0.8916672	1.0	1562	tags=48%, list=30%, signal=68%	
GO:0003755 PEPTIDYL-PROLYL CIS-TRANS ISOMERASE ACTIVITY	GO:0003755 PEPTIDYL-PROLYL CIS-TRANS ISOMERASE ACTIVITY		20	-0.25939026	-0.8583824	0.67951804	0.8923864	1.0	313	tags=15%, list=6%, signal=16%	
GO:0005200 STRUCTURAL CONSTITUENT OF CYTOSKELETON	GO:0005200 STRUCTURAL CONSTITUENT OF CYTOSKELETON		19	-0.26335034	-0.85583603	0.6965174	0.8908889	1.0	413	tags=21%, list=8%, signal=23%	
GO:0005543 PHOSPHOLIPID BINDING	GO:0005543 PHOSPHOLIPID BINDING		25	-0.2512675	-0.85502726	0.685	0.8852283	1.0	1015	tags=36%, list=19%, signal=44%	
GO:0048749 COMPOUND EYE DEVELOPMENT	GO:0048749 COMPOUND EYE DEVELOPMENT		58	-0.19947284	-0.8510855	0.79564035	0.8869559	1.0	673	tags=16%, list=13%, signal=18%	
GO:0008285 NEGATIVE REGULATION OF CELL POPULATION PROLIFERATION	GO:0008285 NEGATIVE REGULATION OF CELL POPULATION PROLIFERATION		24	-0.24193765	-0.8359189	0.76086956	0.9122464	1.0	191	tags=13%, list=4%, signal=13%	
GO:0005516 CALMODULIN BINDING	GO:0005516 CALMODULIN BINDING		28	-0.23596324	-0.8283266	0.7518797	0.92117506	1.0	789	tags=25%, list=15%, signal=29%	
GO:0042593 GLUCOSE HOMEOSTASIS	GO:0042593 GLUCOSE HOMEOSTASIS		26	-0.2365867	-0.8238557	0.7430939	0.92314696	1.0	569	tags=23%, list=11%, signal=26%	
GO:1904263 POSITIVE REGULATION OF TORC1 SIGNALING	GO:1904263 POSITIVE REGULATION OF TORC1 SIGNALING		16	-0.27079925	-0.8191155	0.7414634	0.92514807	1.0	1252	tags=38%, list=24%, signal=49%	
GO:0006888 ENDOPLASMIC RETICULUM TO GOLGI VESICLE-MEDIATED TRANSPORT	GO:0006888 ENDOPLASMIC RETICULUM TO GOLGI VESICLE-MEDIATED TRANSPORT		53	-0.19755517	-0.8089091	0.84126985	0.9371036	1.0	994	tags=21%, list=19%, signal=25%	
GO:0004722 PROTEIN SERINE/THREONINE PHOSPHATASE ACTIVITY	GO:0004722 PROTEIN SERINE/THREONINE PHOSPHATASE ACTIVITY		24	-0.23529129	-0.80742663	0.7626263	0.9325231	1.0	983	tags=29%, list=19%, signal=36%	
GO:0016203 MUSCLE ATTACHMENT	GO:0016203 MUSCLE ATTACHMENT		20	-0.23811364	-0.7975854	0.7791878	0.94348747	1.0	1298	tags=45%, list=25%, signal=59%	
GO:0051082 UNFOLDED PROTEIN BINDING	GO:0051082 UNFOLDED PROTEIN BINDING		54	-0.19013572	-0.7877116	0.89750695	0.953537	1.0	679	tags=15%, list=13%, signal=17%	
GO:0000281 MITOTIC CYTOKINESIS	GO:0000281 MITOTIC CYTOKINESIS		23	-0.23030898	-0.7813243	0.79466665	0.95664316	1.0	1102	tags=26%, list=21%, signal=33%	
GO:0035167 LARVAL LYMPH GLAND HEMOPOIESIS	GO:0035167 LARVAL LYMPH GLAND HEMOPOIESIS		20	-0.23465864	-0.7776887	0.81369865	0.9556021	1.0	164	tags=10%, list=3%, signal=10%	
GO:0015171 AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY	GO:0015171 AMINO ACID TRANSMEMBRANE TRANSPORTER ACTIVITY		16	-0.25408795	-0.77450997	0.81088084	0.95359445	1.0	1046	tags=25%, list=20%, signal=31%	
GO:0007367 SEGMENT POLARITY DETERMINATION	GO:0007367 SEGMENT POLARITY DETERMINATION		16	-0.25382224	-0.7741596	0.78157896	0.94702727	1.0	860	tags=25%, list=16%, signal=30%	
GO:0031532 ACTIN CYTOSKELETON REORGANIZATION	GO:0031532 ACTIN CYTOSKELETON REORGANIZATION		18	-0.24314824	-0.76958716	0.7903226	0.9468333	1.0	976	tags=28%, list=18%, signal=34%	
GO:0042147 RETROGRADE TRANSPORT, ENDOSOME TO GOLGI	GO:0042147 RETROGRADE TRANSPORT, ENDOSOME TO GOLGI		22	-0.22260343	-0.7424092	0.87637365	0.9770059	1.0	187	tags=9%, list=4%, signal=9%	
GO:0055037 RECYCLING ENDOSOME	GO:0055037 RECYCLING ENDOSOME		32	-0.19882502	-0.7351624	0.9175532	0.9788641	1.0	1072	tags=28%, list=20%, signal=35%	
