NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0032543 MITOCHONDRIAL TRANSLATION	GO:0032543 MITOCHONDRIAL TRANSLATION		81	0.20147596	0.81574416	0.8338028	0.85829115	1.0	1493	tags=31%, list=28%, signal=42%	
GO:0007430 TERMINAL BRANCHING, OPEN TRACHEAL SYSTEM	GO:0007430 TERMINAL BRANCHING, OPEN TRACHEAL SYSTEM		19	0.27073017	0.8150405	0.729097	0.8567829	1.0	1754	tags=42%, list=33%, signal=63%	
GO:0032456 ENDOCYTIC RECYCLING	GO:0032456 ENDOCYTIC RECYCLING		22	0.25858316	0.81090426	0.730832	0.8613097	1.0	1268	tags=32%, list=24%, signal=42%	
GO:0016199 AXON MIDLINE CHOICE POINT RECOGNITION	GO:0016199 AXON MIDLINE CHOICE POINT RECOGNITION		18	0.26874948	0.8061939	0.7355372	0.86670834	1.0	786	tags=22%, list=15%, signal=26%	
GO:0007552 METAMORPHOSIS	GO:0007552 METAMORPHOSIS		15	0.28269288	0.8056985	0.7631134	0.86479676	1.0	977	tags=33%, list=18%, signal=41%	
GO:0007427 EPITHELIAL CELL MIGRATION, OPEN TRACHEAL SYSTEM	GO:0007427 EPITHELIAL CELL MIGRATION, OPEN TRACHEAL SYSTEM		21	0.25995225	0.7990351	0.7635468	0.87315696	1.0	1855	tags=57%, list=35%, signal=88%	
GO:0005856 CYTOSKELETON	GO:0005856 CYTOSKELETON		33	0.2309401	0.7948751	0.8027523	0.8773273	1.0	1677	tags=33%, list=32%, signal=49%	
GO:0048024 REGULATION OF MRNA SPLICING, VIA SPLICEOSOME	GO:0048024 REGULATION OF MRNA SPLICING, VIA SPLICEOSOME		18	0.26473278	0.78840303	0.7804054	0.88514537	1.0	1639	tags=39%, list=31%, signal=56%	
GO:0045880 POSITIVE REGULATION OF SMOOTHENED SIGNALING PATHWAY	GO:0045880 POSITIVE REGULATION OF SMOOTHENED SIGNALING PATHWAY		39	0.22329848	0.7865984	0.79407173	0.8850975	1.0	1360	tags=31%, list=26%, signal=41%	
GO:0032482 RAB PROTEIN SIGNAL TRANSDUCTION	GO:0032482 RAB PROTEIN SIGNAL TRANSDUCTION		22	0.25199544	0.78436613	0.7859425	0.88586307	1.0	1508	tags=45%, list=29%, signal=63%	
GO:0045089 POSITIVE REGULATION OF INNATE IMMUNE RESPONSE	GO:0045089 POSITIVE REGULATION OF INNATE IMMUNE RESPONSE		20	0.26041952	0.781843	0.7660626	0.8870552	1.0	1484	tags=40%, list=28%, signal=55%	
GO:0000139 GOLGI MEMBRANE	GO:0000139 GOLGI MEMBRANE		41	0.21948397	0.778227	0.8296296	0.8896619	1.0	1949	tags=41%, list=37%, signal=65%	
GO:0008340 DETERMINATION OF ADULT LIFESPAN	GO:0008340 DETERMINATION OF ADULT LIFESPAN		108	0.18338145	0.77743334	0.9014286	0.8881457	1.0	1713	tags=33%, list=32%, signal=48%	
GO:0016791 PHOSPHATASE ACTIVITY	GO:0016791 PHOSPHATASE ACTIVITY		19	0.26202217	0.7750567	0.78453946	0.88903254	1.0	1024	tags=26%, list=19%, signal=33%	
GO:0030154 CELL DIFFERENTIATION	GO:0030154 CELL DIFFERENTIATION		16	0.26712146	0.7672213	0.8127036	0.8975442	1.0	1923	tags=50%, list=36%, signal=78%	
GO:0007391 DORSAL CLOSURE	GO:0007391 DORSAL CLOSURE		62	0.19591545	0.7664495	0.8864307	0.895881	1.0	573	tags=15%, list=11%, signal=16%	
GO:0008103 OOCYTE MICROTUBULE CYTOSKELETON POLARIZATION	GO:0008103 OOCYTE MICROTUBULE CYTOSKELETON POLARIZATION		15	0.2706982	0.7650366	0.7959866	0.8950632	1.0	2052	tags=47%, list=39%, signal=76%	
GO:0060090 MOLECULAR ADAPTOR ACTIVITY	GO:0060090 MOLECULAR ADAPTOR ACTIVITY		24	0.23815486	0.7628736	0.8375796	0.8951767	1.0	1108	tags=29%, list=21%, signal=37%	
GO:0043130 UBIQUITIN BINDING	GO:0043130 UBIQUITIN BINDING		23	0.23912522	0.7566169	0.8169717	0.90110284	1.0	2050	tags=48%, list=39%, signal=78%	
GO:0045879 NEGATIVE REGULATION OF SMOOTHENED SIGNALING PATHWAY	GO:0045879 NEGATIVE REGULATION OF SMOOTHENED SIGNALING PATHWAY		41	0.21620831	0.75597644	0.8689548	0.8991451	1.0	1061	tags=27%, list=20%, signal=33%	
GO:0007424 OPEN TRACHEAL SYSTEM DEVELOPMENT	GO:0007424 OPEN TRACHEAL SYSTEM DEVELOPMENT		45	0.20377508	0.75293946	0.8869969	0.9005768	1.0	1356	tags=29%, list=26%, signal=39%	
GO:0090263 POSITIVE REGULATION OF CANONICAL WNT SIGNALING PATHWAY	GO:0090263 POSITIVE REGULATION OF CANONICAL WNT SIGNALING PATHWAY		35	0.21653861	0.7451295	0.8681818	0.9083992	1.0	1584	tags=37%, list=30%, signal=53%	
GO:0035331 NEGATIVE REGULATION OF HIPPO SIGNALING	GO:0035331 NEGATIVE REGULATION OF HIPPO SIGNALING		27	0.22635795	0.7291474	0.88391376	0.92507595	1.0	1906	tags=41%, list=36%, signal=63%	
GO:0031982 VESICLE	GO:0031982 VESICLE		38	0.20774253	0.72625536	0.8870229	0.92546105	1.0	1809	tags=50%, list=34%, signal=75%	
GO:0004930 G PROTEIN-COUPLED RECEPTOR ACTIVITY	GO:0004930 G PROTEIN-COUPLED RECEPTOR ACTIVITY		18	0.24209777	0.7243243	0.8672269	0.9248798	1.0	1131	tags=28%, list=21%, signal=35%	
GO:0000049 TRNA BINDING	GO:0000049 TRNA BINDING		25	0.2217541	0.7060097	0.9085072	0.9418737	1.0	1953	tags=48%, list=37%, signal=76%	
GO:0046579 POSITIVE REGULATION OF RAS PROTEIN SIGNAL TRANSDUCTION	GO:0046579 POSITIVE REGULATION OF RAS PROTEIN SIGNAL TRANSDUCTION		17	0.23867366	0.6931503	0.8894309	0.9516848	1.0	731	tags=18%, list=14%, signal=20%	
GO:0003723 RNA BINDING	GO:0003723 RNA BINDING		240	0.14690629	0.68825006	1.0	0.9532601	1.0	1224	tags=21%, list=23%, signal=26%	
GO:0003700 DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY	GO:0003700 DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY		30	0.20447025	0.679615	0.9230769	0.95777994	1.0	1059	tags=20%, list=20%, signal=25%	
GO:0005911 CELL-CELL JUNCTION	GO:0005911 CELL-CELL JUNCTION		24	0.21202436	0.670823	0.92698413	0.96180433	1.0	1662	tags=42%, list=31%, signal=61%	
GO:0005102 SIGNALING RECEPTOR BINDING	GO:0005102 SIGNALING RECEPTOR BINDING		19	0.22239533	0.6638634	0.93376416	0.96415824	1.0	1607	tags=32%, list=30%, signal=45%	
GO:0038023 SIGNALING RECEPTOR ACTIVITY	GO:0038023 SIGNALING RECEPTOR ACTIVITY		17	0.22698696	0.66014063	0.9238095	0.96389496	1.0	701	tags=18%, list=13%, signal=20%	
GO:0046329 NEGATIVE REGULATION OF JNK CASCADE	GO:0046329 NEGATIVE REGULATION OF JNK CASCADE		21	0.21314743	0.65007395	0.93699515	0.9675645	1.0	661	tags=14%, list=13%, signal=16%	
GO:0006812 CATION TRANSPORT	GO:0006812 CATION TRANSPORT		19	0.19944896	0.6066948	0.9579968	0.98713917	1.0	1336	tags=26%, list=25%, signal=35%	
GO:0042594 RESPONSE TO STARVATION	GO:0042594 RESPONSE TO STARVATION		35	0.1719693	0.59064656	0.9827044	0.99007547	1.0	1178	tags=20%, list=22%, signal=26%	
GO:0008345 LARVAL LOCOMOTORY BEHAVIOR	GO:0008345 LARVAL LOCOMOTORY BEHAVIOR		24	0.1783447	0.56236273	0.9887097	0.9951486	1.0	1630	tags=33%, list=31%, signal=48%	
GO:0005795 GOLGI STACK	GO:0005795 GOLGI STACK		19	0.18453176	0.5483428	0.988255	0.9951804	1.0	1809	tags=42%, list=34%, signal=64%	
GO:0043066 NEGATIVE REGULATION OF APOPTOTIC PROCESS	GO:0043066 NEGATIVE REGULATION OF APOPTOTIC PROCESS		39	0.1530637	0.53804326	0.9953271	0.99426717	1.0	834	tags=13%, list=16%, signal=15%	
GO:0030136 CLATHRIN-COATED VESICLE	GO:0030136 CLATHRIN-COATED VESICLE		16	0.1616194	0.45240876	0.99657536	0.99903065	1.0	2380	tags=50%, list=45%, signal=91%	
