NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO:0006406 MRNA EXPORT FROM NUCLEUS	GO:0006406 MRNA EXPORT FROM NUCLEUS		19	0.45469272	1.3639015	0.116161615	0.25599045	1.0	2126	tags=79%, list=40%, signal=132%	
GO:0042981 REGULATION OF APOPTOTIC PROCESS	GO:0042981 REGULATION OF APOPTOTIC PROCESS		15	0.49888423	1.3637081	0.10118044	0.25395954	1.0	546	tags=27%, list=10%, signal=30%	
GO:0005681 SPLICEOSOMAL COMPLEX	GO:0005681 SPLICEOSOMAL COMPLEX		40	0.38427192	1.3604447	0.078125	0.25677875	1.0	1622	tags=43%, list=31%, signal=61%	
GO:0006915 APOPTOTIC PROCESS	GO:0006915 APOPTOTIC PROCESS		18	0.4606581	1.3555675	0.11092715	0.2624015	1.0	1225	tags=44%, list=23%, signal=58%	
GO:0007268 CHEMICAL SYNAPTIC TRANSMISSION	GO:0007268 CHEMICAL SYNAPTIC TRANSMISSION		69	0.34582815	1.3541304	0.05059524	0.26210067	1.0	1400	tags=35%, list=27%, signal=47%	
GO:0000149 SNARE BINDING	GO:0000149 SNARE BINDING		37	0.38449448	1.3520495	0.065449014	0.26301697	1.0	985	tags=24%, list=19%, signal=30%	
GO:0040011 LOCOMOTION	GO:0040011 LOCOMOTION		23	0.43604228	1.3496165	0.085	0.26463494	1.0	822	tags=39%, list=16%, signal=46%	
GO:0008543 FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAY	GO:0008543 FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAY		15	0.48121685	1.3479615	0.10897436	0.26477134	1.0	1780	tags=67%, list=34%, signal=100%	
GO:0007346 REGULATION OF MITOTIC CELL CYCLE	GO:0007346 REGULATION OF MITOTIC CELL CYCLE		15	0.48232856	1.347922	0.13148789	0.26257405	1.0	1109	tags=47%, list=21%, signal=59%	
GO:0045887 POSITIVE REGULATION OF SYNAPTIC ASSEMBLY AT NEUROMUSCULAR JUNCTION	GO:0045887 POSITIVE REGULATION OF SYNAPTIC ASSEMBLY AT NEUROMUSCULAR JUNCTION		31	0.4006998	1.3478221	0.09538951	0.2605055	1.0	1322	tags=39%, list=25%, signal=51%	
GO:0048477 OOGENESIS	GO:0048477 OOGENESIS		105	0.31800342	1.3473841	0.032258064	0.25903225	1.0	1855	tags=44%, list=35%, signal=66%	
GO:0016081 SYNAPTIC VESICLE DOCKING	GO:0016081 SYNAPTIC VESICLE DOCKING		20	0.44779	1.34404	0.10909091	0.26205444	1.0	553	tags=20%, list=10%, signal=22%	
GO:0046777 PROTEIN AUTOPHOSPHORYLATION	GO:0046777 PROTEIN AUTOPHOSPHORYLATION		24	0.42887813	1.3408291	0.10567823	0.26509145	1.0	1037	tags=38%, list=20%, signal=46%	
GO:0005686 U2 SNRNP	GO:0005686 U2 SNRNP		18	0.4478677	1.3394965	0.10897436	0.26509058	1.0	1516	tags=50%, list=29%, signal=70%	
GO:0030425 DENDRITE	GO:0030425 DENDRITE		43	0.3723453	1.3370817	0.08709176	0.26714987	1.0	1222	tags=40%, list=23%, signal=51%	
GO:0008270 ZINC ION BINDING	GO:0008270 ZINC ION BINDING		171	0.29571685	1.3352844	0.028150134	0.26776177	1.0	1660	tags=43%, list=31%, signal=61%	
GO:0046843 DORSAL APPENDAGE FORMATION	GO:0046843 DORSAL APPENDAGE FORMATION		28	0.41656727	1.3344976	0.125	0.26684314	1.0	1265	tags=43%, list=24%, signal=56%	
GO:0043025 NEURONAL CELL BODY	GO:0043025 NEURONAL CELL BODY		74	0.33488917	1.3329017	0.055555556	0.2670919	1.0	931	tags=28%, list=18%, signal=34%	
GO:0007281 GERM CELL DEVELOPMENT	GO:0007281 GERM CELL DEVELOPMENT		28	0.4072782	1.3328398	0.11204013	0.26506567	1.0	1857	tags=68%, list=35%, signal=104%	
GO:0045944 POSITIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II	GO:0045944 POSITIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE II		93	0.3205013	1.3324709	0.05322129	0.26351866	1.0	1547	tags=42%, list=29%, signal=58%	
GO:0007157 HETEROPHILIC CELL-CELL ADHESION VIA PLASMA MEMBRANE CELL ADHESION MOLECULES	GO:0007157 HETEROPHILIC CELL-CELL ADHESION VIA PLASMA MEMBRANE CELL ADHESION MOLECULES		18	0.45802397	1.3312205	0.12794612	0.2633018	1.0	1559	tags=56%, list=30%, signal=79%	
GO:0000132 ESTABLISHMENT OF MITOTIC SPINDLE ORIENTATION	GO:0000132 ESTABLISHMENT OF MITOTIC SPINDLE ORIENTATION		18	0.45259246	1.3293723	0.14070351	0.26398417	1.0	1157	tags=44%, list=22%, signal=57%	
GO:0042127 REGULATION OF CELL POPULATION PROLIFERATION	GO:0042127 REGULATION OF CELL POPULATION PROLIFERATION		16	0.4652606	1.327213	0.12071778	0.26522386	1.0	2133	tags=75%, list=40%, signal=125%	
GO:0006979 RESPONSE TO OXIDATIVE STRESS	GO:0006979 RESPONSE TO OXIDATIVE STRESS		63	0.34324437	1.3239269	0.08018155	0.26812285	1.0	1147	tags=35%, list=22%, signal=44%	
GO:0007616 LONG-TERM MEMORY	GO:0007616 LONG-TERM MEMORY		49	0.35340026	1.3143687	0.093023255	0.28158098	1.0	1992	tags=55%, list=38%, signal=88%	
GO:0043065 POSITIVE REGULATION OF APOPTOTIC PROCESS	GO:0043065 POSITIVE REGULATION OF APOPTOTIC PROCESS		15	0.46765575	1.310113	0.14482759	0.2861464	1.0	1251	tags=47%, list=24%, signal=61%	
GO:0008586 IMAGINAL DISC-DERIVED WING VEIN MORPHOGENESIS	GO:0008586 IMAGINAL DISC-DERIVED WING VEIN MORPHOGENESIS		20	0.42608404	1.3090571	0.13731825	0.2857081	1.0	1282	tags=45%, list=24%, signal=59%	
GO:0000287 MAGNESIUM ION BINDING	GO:0000287 MAGNESIUM ION BINDING		27	0.40307993	1.305526	0.1098546	0.2892439	1.0	575	tags=37%, list=11%, signal=41%	
GO:0046982 PROTEIN HETERODIMERIZATION ACTIVITY	GO:0046982 PROTEIN HETERODIMERIZATION ACTIVITY		52	0.34875175	1.3040185	0.086363636	0.28969932	1.0	1348	tags=40%, list=26%, signal=54%	
GO:0007294 GERMARIUM-DERIVED OOCYTE FATE DETERMINATION	GO:0007294 GERMARIUM-DERIVED OOCYTE FATE DETERMINATION		17	0.4409682	1.3028847	0.13815789	0.2896528	1.0	1857	tags=47%, list=35%, signal=72%	
GO:0004672 PROTEIN KINASE ACTIVITY	GO:0004672 PROTEIN KINASE ACTIVITY		37	0.37063366	1.3001635	0.11912226	0.29211068	1.0	1255	tags=41%, list=24%, signal=53%	
GO:0007218 NEUROPEPTIDE SIGNALING PATHWAY	GO:0007218 NEUROPEPTIDE SIGNALING PATHWAY		25	0.41220084	1.2993871	0.121212125	0.29141212	1.0	1708	tags=40%, list=32%, signal=59%	
GO:0035011 MELANOTIC ENCAPSULATION OF FOREIGN TARGET	GO:0035011 MELANOTIC ENCAPSULATION OF FOREIGN TARGET		22	0.40894544	1.2862933	0.14402619	0.3115768	1.0	1202	tags=36%, list=23%, signal=47%	
GO:0031490 CHROMATIN DNA BINDING	GO:0031490 CHROMATIN DNA BINDING		16	0.45348555	1.2841698	0.16185898	0.31289625	1.0	994	tags=44%, list=19%, signal=54%	
GO:0005765 LYSOSOMAL MEMBRANE	GO:0005765 LYSOSOMAL MEMBRANE		15	0.45411462	1.2808793	0.14006515	0.31663674	1.0	866	tags=33%, list=16%, signal=40%	
GO:0070588 CALCIUM ION TRANSMEMBRANE TRANSPORT	GO:0070588 CALCIUM ION TRANSMEMBRANE TRANSPORT		17	0.45001927	1.2762821	0.17021276	0.32238665	1.0	884	tags=35%, list=17%, signal=42%	
GO:0008344 ADULT LOCOMOTORY BEHAVIOR	GO:0008344 ADULT LOCOMOTORY BEHAVIOR		37	0.36249632	1.2748785	0.12401884	0.3226508	1.0	1078	tags=38%, list=20%, signal=47%	
GO:0006974 CELLULAR RESPONSE TO DNA DAMAGE STIMULUS	GO:0006974 CELLULAR RESPONSE TO DNA DAMAGE STIMULUS		16	0.44916746	1.2742236	0.17717206	0.32170993	1.0	1302	tags=38%, list=25%, signal=50%	
GO:0007018 MICROTUBULE-BASED MOVEMENT	GO:0007018 MICROTUBULE-BASED MOVEMENT		18	0.42746082	1.2736552	0.14974183	0.32050335	1.0	1634	tags=50%, list=31%, signal=72%	
GO:0018105 PEPTIDYL-SERINE PHOSPHORYLATION	GO:0018105 PEPTIDYL-SERINE PHOSPHORYLATION		33	0.37230423	1.2708789	0.14308175	0.32312676	1.0	1371	tags=45%, list=26%, signal=61%	
GO:0003674 MOLECULAR_FUNCTION	GO:0003674 MOLECULAR_FUNCTION		368	0.25948748	1.2669982	0.029620852	0.32788363	1.0	1450	tags=31%, list=27%, signal=40%	
GO:0000381 REGULATION OF ALTERNATIVE MRNA SPLICING, VIA SPLICEOSOME	GO:0000381 REGULATION OF ALTERNATIVE MRNA SPLICING, VIA SPLICEOSOME		71	0.3184743	1.2639536	0.11816839	0.33112824	1.0	1676	tags=41%, list=32%, signal=59%	
GO:0005887 INTEGRAL COMPONENT OF PLASMA MEMBRANE	GO:0005887 INTEGRAL COMPONENT OF PLASMA MEMBRANE		196	0.2747083	1.2622885	0.069767445	0.3321188	1.0	1076	tags=28%, list=20%, signal=34%	
GO:0000226 MICROTUBULE CYTOSKELETON ORGANIZATION	GO:0000226 MICROTUBULE CYTOSKELETON ORGANIZATION		33	0.36698937	1.2593131	0.14018692	0.3352186	1.0	1058	tags=33%, list=20%, signal=41%	
GO:0006325 CHROMATIN ORGANIZATION	GO:0006325 CHROMATIN ORGANIZATION		32	0.37457305	1.2548752	0.15474209	0.34115946	1.0	1270	tags=34%, list=24%, signal=45%	
GO:0005667 TRANSCRIPTION REGULATOR COMPLEX	GO:0005667 TRANSCRIPTION REGULATOR COMPLEX		27	0.38324317	1.2536176	0.13157895	0.34106305	1.0	2092	tags=59%, list=40%, signal=98%	
GO:0003676 NUCLEIC ACID BINDING	GO:0003676 NUCLEIC ACID BINDING		68	0.31191683	1.2460216	0.12827988	0.3523246	1.0	1608	tags=41%, list=30%, signal=58%	
GO:0070006 METALLOAMINOPEPTIDASE ACTIVITY	GO:0070006 METALLOAMINOPEPTIDASE ACTIVITY		17	0.43428227	1.2459505	0.17569786	0.35011408	1.0	1716	tags=59%, list=32%, signal=87%	
GO:0051124 SYNAPTIC ASSEMBLY AT NEUROMUSCULAR JUNCTION	GO:0051124 SYNAPTIC ASSEMBLY AT NEUROMUSCULAR JUNCTION		26	0.38658687	1.2435704	0.15923567	0.35219133	1.0	1601	tags=50%, list=30%, signal=71%	
GO:0004222 METALLOENDOPEPTIDASE ACTIVITY	GO:0004222 METALLOENDOPEPTIDASE ACTIVITY		21	0.40215826	1.2403543	0.1704918	0.35587165	1.0	508	tags=24%, list=10%, signal=26%	
GO:0046540 U4/U6 X U5 TRI-SNRNP COMPLEX	GO:0046540 U4/U6 X U5 TRI-SNRNP COMPLEX		16	0.43303934	1.2372081	0.20450607	0.35985032	1.0	1580	tags=56%, list=30%, signal=80%	
GO:0032436 POSITIVE REGULATION OF PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS	GO:0032436 POSITIVE REGULATION OF PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS		28	0.3742828	1.2363427	0.17806041	0.35916793	1.0	1924	tags=57%, list=36%, signal=89%	
GO:0016322 NEURON REMODELING	GO:0016322 NEURON REMODELING		35	0.35429487	1.227488	0.16968699	0.37371823	1.0	923	tags=26%, list=17%, signal=31%	
GO:0007419 VENTRAL CORD DEVELOPMENT	GO:0007419 VENTRAL CORD DEVELOPMENT		28	0.3712884	1.2270917	0.17711599	0.37218186	1.0	657	tags=29%, list=12%, signal=32%	
GO:0007265 RAS PROTEIN SIGNAL TRANSDUCTION	GO:0007265 RAS PROTEIN SIGNAL TRANSDUCTION		16	0.44099346	1.2238019	0.19607843	0.37640762	1.0	731	tags=38%, list=14%, signal=43%	
GO:0006366 TRANSCRIPTION BY RNA POLYMERASE II	GO:0006366 TRANSCRIPTION BY RNA POLYMERASE II		24	0.38809165	1.2181555	0.20944881	0.38524172	1.0	1766	tags=46%, list=33%, signal=69%	
GO:0007409 AXONOGENESIS	GO:0007409 AXONOGENESIS		41	0.33594182	1.21631	0.17364341	0.38645104	1.0	1567	tags=44%, list=30%, signal=62%	
GO:0008017 MICROTUBULE BINDING	GO:0008017 MICROTUBULE BINDING		51	0.32145396	1.2091504	0.16848674	0.39811304	1.0	1265	tags=37%, list=24%, signal=49%	
GO:0008360 REGULATION OF CELL SHAPE	GO:0008360 REGULATION OF CELL SHAPE		27	0.37806234	1.208048	0.19300912	0.39800617	1.0	503	tags=22%, list=10%, signal=24%	
GO:0004888 TRANSMEMBRANE SIGNALING RECEPTOR ACTIVITY	GO:0004888 TRANSMEMBRANE SIGNALING RECEPTOR ACTIVITY		15	0.4369685	1.2070445	0.22813036	0.39756483	1.0	1206	tags=40%, list=23%, signal=52%	
GO:0016887 ATP HYDROLYSIS ACTIVITY	GO:0016887 ATP HYDROLYSIS ACTIVITY		106	0.2834935	1.1987157	0.15285714	0.41122317	1.0	1259	tags=29%, list=24%, signal=38%	
GO:0005743 MITOCHONDRIAL INNER MEMBRANE	GO:0005743 MITOCHONDRIAL INNER MEMBRANE		43	0.33421186	1.1972562	0.19212599	0.4116715	1.0	1120	tags=33%, list=21%, signal=41%	
GO:0031410 CYTOPLASMIC VESICLE	GO:0031410 CYTOPLASMIC VESICLE		33	0.34326023	1.1959159	0.21428572	0.41190746	1.0	1118	tags=36%, list=21%, signal=46%	
GO:0031507 HETEROCHROMATIN ASSEMBLY	GO:0031507 HETEROCHROMATIN ASSEMBLY		28	0.36235029	1.1948857	0.21384615	0.41173705	1.0	714	tags=21%, list=14%, signal=25%	
GO:0000932 P-BODY	GO:0000932 P-BODY		30	0.35657093	1.1946096	0.2124183	0.40986866	1.0	1679	tags=43%, list=32%, signal=63%	
GO:0015031 PROTEIN TRANSPORT	GO:0015031 PROTEIN TRANSPORT		21	0.38938826	1.1936883	0.23322684	0.40953404	1.0	940	tags=29%, list=18%, signal=35%	
GO:0008045 MOTOR NEURON AXON GUIDANCE	GO:0008045 MOTOR NEURON AXON GUIDANCE		44	0.32372892	1.192913	0.19808307	0.40866303	1.0	1677	tags=43%, list=32%, signal=63%	
GO:0003714 TRANSCRIPTION COREPRESSOR ACTIVITY	GO:0003714 TRANSCRIPTION COREPRESSOR ACTIVITY		29	0.3582311	1.1872838	0.21682848	0.4175239	1.0	1231	tags=38%, list=23%, signal=49%	
GO:0007298 BORDER FOLLICLE CELL MIGRATION	GO:0007298 BORDER FOLLICLE CELL MIGRATION		60	0.30958393	1.1863228	0.17846154	0.417002	1.0	1298	tags=37%, list=25%, signal=48%	
GO:0006099 TRICARBOXYLIC ACID CYCLE	GO:0006099 TRICARBOXYLIC ACID CYCLE		20	0.39109713	1.1835364	0.21621622	0.42016637	1.0	831	tags=30%, list=16%, signal=35%	
GO:0000978 RNA POLYMERASE II CIS-REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING	GO:0000978 RNA POLYMERASE II CIS-REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING		61	0.3067756	1.1813315	0.19710144	0.42234683	1.0	1923	tags=51%, list=36%, signal=79%	
